报道时间,省份,城市,新增确诊,新增出院,新增死亡,累计确诊,累计出院,累计死亡
3月6日,黑龙江,哈尔滨市,0.0,15.0,0.0,206,163.0,4.0
3月6日,宁夏,银川市,0.0,2.0,0.0,41,34.0,0.0
3月6日,广东,深圳市,1.0,0.0,0.0,455,361.0,3.0
3月6日,山东,济宁市,0.0,11.0,0.0,265,174.0,0.0
3月6日,山东,潍坊市,0.0,2.0,0.0,47,36.0,0.0
3月6日,山东,济南市,0.0,2.0,0.0,57,40.0,0.0
3月6日,浙江,台州市,0.0,1.0,0.0,168,130.0,0.0
3月6日,云南,昆明市,0.0,1.0,0.0,60,53.0,0.0
3月6日,上海,松江区,0.0,1.0,0.0,14,13.0,0.0
3月6日,上海,浦东新区,0.0,1.0,0.0,54,55.0,0.0
3月6日,上海,外地来沪,0.0,1.0,0.0,92,102.0,0.0
3月6日,上海,境外输入,3.0,0.0,0.0,23,0.0,0.0
3月6日,福建,莆田市,0.0,1.0,0.0,66,47.0,0.0
3月6日,上海,普陀区,0.0,1.0,0.0,11,11.0,0.0
3月6日,上海,徐汇区,0.0,1.0,0.0,15,17.0,0.0
3月6日,上海,宝山区,0.0,1.0,0.0,20,16.0,0.0
3月6日,上海,浦东新区,0.0,1.0,0.0,54,54.0,0.0
3月6日,上海,金山区,0.0,1.0,0.0,4,4.0,0.0
3月6日,天津,宝坻区,0.0,4.0,0.0,60,56.0,2.0
3月6日,湖北,神农架林区,0.0,0.0,0.0,11,11.0,0.0
3月6日,湖北,潜江市,0.0,8.0,0.0,203,159.0,10.0
3月6日,湖北,恩施州,0.0,19.0,1.0,277,226.0,6.0
3月6日,湖北,天门市,0.0,7.0,0.0,509,442.0,15.0
3月6日,湖北,仙桃市,0.0,9.0,0.0,587,490.0,20.0
3月6日,湖北,十堰市,0.0,12.0,1.0,712,539.0,8.0
3月6日,湖北,咸宁市,0.0,10.0,0.0,900,786.0,14.0
3月6日,湖北,荆门市,0.0,16.0,0.0,1018,702.0,42.0
3月6日,湖北,宜昌市,0.0,46.0,0.0,962,684.0,34.0
3月6日,湖北,黄石市,0.0,37.0,0.0,1051,859.0,37.0
3月6日,湖北,襄阳市,0.0,31.0,0.0,1211,1011.0,35.0
3月6日,湖北,随州市,0.0,35.0,0.0,1359,1010.0,42.0
3月6日,湖北,鄂州市,0.0,18.0,1.0,1414,930.0,53.0
3月6日,湖北,荆州市,0.0,57.0,0.0,1627,1327.0,50.0
3月6日,湖北,黄冈市,0.0,54.0,1.0,3061,2530.0,126.0
3月6日,湖北,孝感市,0.0,90.0,2.0,3618,2911.0,124.0
3月6日,湖北,武汉市,126.0,1038.0,23.0,50495,27396.0,2391.0
3月6日,广东,江门市,0.0,2.0,0.0,23,22.0,0.0
3月6日,广东,珠海市,0.0,7.0,0.0,110,90.0,1.0
3月6日,广东,深圳市,0.0,8.0,0.0,454,361.0,3.0
3月6日,广东,广州市,0.0,17.0,0.0,388,309.0,1.0
3月6日,广东,东莞市,0.0,2.0,0.0,101,88.0,1.0
3月6日,浙江,衢州市,0.0,14.0,0.0,55,41.0,0.0
3月6日,浙江,绍兴市,0.0,1.0,0.0,48,39.0,0.0
3月6日,浙江,温州市,0.0,2.0,0.0,536,483.0,1.0
3月6日,浙江,宁波市,0.0,1.0,0.0,170,155.0,0.0
3月6日,浙江,杭州市,0.0,1.0,0.0,196,163.0,0.0
3月6日,江西,吉安市,0.0,1.0,0.0,25,22.0,0.0
3月6日,江西,赣州市,0.0,1.0,0.0,86,75.0,1.0
3月6日,江西,九江市,0.0,2.0,0.0,127,110.0,0.0
3月6日,江西,南昌市,0.0,3.0,0.0,247,222.0,0.0
3月6日,四川,泸州市,0.0,2.0,0.0,27,22.0,0.0
3月6日,四川,成都市,0.0,1.0,0.0,177,98.0,3.0
3月6日,江苏,苏州市,0.0,5.0,0.0,95,76.0,0.0
3月6日,湖南,娄底市,0.0,2.0,0.0,83,70.0,0.0
3月6日,湖南,长沙市,0.0,6.0,0.0,264,207.0,2.0
3月6日,河南,地市明细不详,0.0,1.0,0.0,0,286.0,15.0
3月6日,北京,地市明细不详,0.0,1.0,0.0,0,285.0,15.0
3月6日,北京,境外输入,4.0,0.0,0.0,20,0.0,0.0
3月6日,山东,德州市,0.0,1.0,0.0,45,22.0,2.0
3月6日,山东,威海市,0.0,1.0,0.0,47,35.0,0.0
3月6日,山东,济宁市,0.0,22.0,0.0,265,163.0,0.0
3月6日,山东,潍坊市,0.0,1.0,0.0,47,34.0,0.0
3月6日,山东,济南市,0.0,1.0,0.0,57,38.0,0.0
3月6日,广西,来宾市,0.0,3.0,0.0,11,7.0,0.0
3月6日,广西,柳州市,0.0,1.0,0.0,30,20.0,0.0
3月6日,黑龙江,七台河市,0.0,1.0,0.0,18,15.0,0.0
3月6日,重庆,垫江县,0.0,2.0,0.0,24,19.0,0.0
3月6日,重庆,开州区,0.0,1.0,0.0,28,20.0,1.0
3月6日,重庆,潼南区,0.0,1.0,0.0,20,12.0,0.0
3月6日,重庆,合川区,0.0,2.0,0.0,26,23.0,0.0
3月6日,重庆,长寿区,0.0,1.0,0.0,28,16.0,0.0
3月6日,重庆,南岸区,0.0,1.0,0.0,15,11.0,0.0
3月6日,重庆,沙坪坝区,0.0,2.0,0.0,9,7.0,0.0
3月5日,广东,湛江市,0.0,2.0,0.0,27,22.0,0.0
3月5日,广东,汕头市,0.0,1.0,0.0,27,23.0,0.0
3月5日,内蒙古,呼和浩特市,0.0,1.0,0.0,7,6.0,0.0
3月5日,内蒙古,鄂尔多斯市,0.0,1.0,0.0,13,11.0,0.0
3月5日,新疆,昌吉州,0.0,1.0,0.0,4,4.0,0.0
3月5日,吉林,白城市,0.0,1.0,0.0,1,1.0,0.0
3月5日,吉林,长春市,0.0,1.0,0.0,46,44.0,0.0
3月5日,山西,大同市,0.0,2.0,0.0,13,11.0,0.0
3月5日,陕西,西安市,0.0,4.0,0.0,132,108.0,1.0
3月5日,福建,三明市,0.0,2.0,0.0,18,14.0,0.0
3月5日,福建,南平市,0.0,2.0,0.0,22,20.0,0.0
3月5日,福建,宁德市,0.0,1.0,0.0,32,24.0,0.0
3月5日,福建,泉州市,0.0,2.0,0.0,57,45.0,0.0
3月5日,福建,福州市,0.0,1.0,0.0,90,71.0,1.0
3月5日,河北,张家口市,0.0,1.0,0.0,41,38.0,0.0
3月5日,河北,唐山市,0.0,2.0,0.0,58,54.0,1.0
3月5日,四川,宜宾市,0.0,1.0,0.0,13,11.0,0.0
3月5日,四川,德阳市,0.0,1.0,0.0,19,14.0,0.0
3月5日,四川,甘孜州,0.0,1.0,0.0,80,58.0,0.0
3月5日,四川,达州市,0.0,4.0,0.0,45,35.0,0.0
3月5日,江苏,南京市,0.0,3.0,0.0,100,83.0,0.0
3月5日,安徽,池州市,0.0,1.0,0.0,18,17.0,0.0
3月5日,安徽,宣城市,0.0,1.0,0.0,7,6.0,0.0
3月5日,安徽,马鞍山市,0.0,1.0,0.0,45,36.0,0.0
3月5日,安徽,亳州市,0.0,1.0,0.0,114,108.0,0.0
3月5日,安徽,淮北市,0.0,2.0,0.0,28,27.0,0.0
3月5日,安徽,合肥市,0.0,8.0,0.0,187,165.0,1.0
3月5日,湖南,郴州市,0.0,1.0,0.0,45,37.0,0.0
3月5日,湖南,湘潭市,0.0,1.0,0.0,40,36.0,0.0
3月5日,湖南,永州市,0.0,1.0,0.0,48,44.0,0.0
3月5日,湖南,岳阳市,0.0,2.0,0.0,163,139.0,1.0
3月5日,甘肃,境外输入,11.0,0.0,0.0,16,0.0,0.0
3月5日,浙江,温州市,0.0,2.0,0.0,536,481.0,1.0
3月5日,河南,信阳市,0.0,1.0,0.0,303,268.0,2.0
3月5日,广东,佛山市,0.0,1.0,0.0,98,70.0,0.0
3月5日,广东,梅州市,0.0,2.0,0.0,19,15.0,0.0
3月5日,广东,阳江市,0.0,2.0,0.0,22,13.0,0.0
3月5日,广东,茂名市,0.0,3.0,0.0,14,14.0,0.0
3月5日,广东,肇庆市,0.0,3.0,0.0,23,18.0,1.0
3月5日,广东,广州市,1.0,0.0,0.0,388,292.0,1.0
3月5日,浙江,台州市,0.0,2.0,0.0,168,129.0,0.0
3月5日,海南,东方市,0.0,0.0,1.0,3,2.0,1.0
3月5日,上海,境外输入,1.0,0.0,0.0,5,0.0,0.0
3月5日,福建,南平市,0.0,1.0,0.0,22,18.0,0.0
3月5日,福建,莆田市,0.0,5.0,0.0,66,46.0,0.0
3月5日,福建,泉州市,0.0,2.0,0.0,57,43.0,0.0
3月5日,海南,万宁市,0.0,1.0,0.0,20,13.0,0.0
3月5日,海南,海口市,0.0,1.0,0.0,45,38.0,0.0
3月5日,陕西,宝鸡市,0.0,1.0,0.0,13,13.0,0.0
3月5日,陕西,渭南市,0.0,3.0,0.0,16,13.0,0.0
3月5日,陕西,汉中市,0.0,1.0,0.0,29,23.0,0.0
3月5日,四川,甘孜州,0.0,4.0,0.0,80,57.0,0.0
3月5日,四川,达州市,0.0,3.0,0.0,45,31.0,0.0
3月5日,四川,广安市,0.0,1.0,0.0,36,26.0,0.0
3月5日,四川,南充市,0.0,2.0,0.0,41,32.0,0.0
3月5日,四川,内江市,0.0,1.0,0.0,23,19.0,0.0
3月5日,四川,绵阳市,0.0,2.0,0.0,29,18.0,0.0
3月5日,四川,德阳市,0.0,1.0,0.0,19,13.0,0.0
3月5日,四川,成都市,0.0,4.0,0.0,177,97.0,3.0
3月5日,重庆,巫溪县,0.0,1.0,0.0,19,14.0,0.0
3月5日,重庆,奉节县,0.0,1.0,0.0,25,20.0,0.0
3月5日,重庆,忠县,0.0,1.0,0.0,27,20.0,0.0
3月5日,重庆,丰都县,0.0,1.0,0.0,13,8.0,0.0
3月5日,重庆,大足区,0.0,1.0,0.0,15,12.0,0.0
3月5日,重庆,綦江区,0.0,3.0,0.0,24,19.0,0.0
3月5日,重庆,大渡口区,0.0,1.0,0.0,13,7.0,0.0
3月5日,重庆,万州区,0.0,3.0,0.0,132,106.0,4.0
3月5日,四川,成都市,1.0,0.0,0.0,177,93.0,3.0
3月5日,江西,抚州市,0.0,1.0,0.0,80,71.0,0.0
3月5日,江西,上饶市,0.0,1.0,0.0,130,122.0,0.0
3月5日,江西,赣州市,0.0,1.0,0.0,86,74.0,1.0
3月5日,江西,萍乡市,0.0,6.0,0.0,35,34.0,0.0
3月5日,江西,九江市,0.0,7.0,0.0,127,108.0,0.0
3月5日,江西,南昌市,0.0,1.0,0.0,247,219.0,0.0
3月5日,山东,潍坊市,0.0,2.0,0.0,47,33.0,0.0
3月5日,山东,临沂市,0.0,1.0,0.0,56,48.0,0.0
3月5日,山东,济宁市,0.0,58.0,0.0,265,141.0,0.0
3月5日,山东,烟台市,0.0,2.0,0.0,55,39.0,0.0
3月5日,山东,淄博市,0.0,1.0,0.0,32,24.0,1.0
3月5日,山东,济南市,0.0,1.0,0.0,57,37.0,0.0
3月5日,广西,河池市,0.0,1.0,0.0,31,16.0,1.0
3月5日,广西,北海市,0.0,1.0,0.0,55,38.0,1.0
3月5日,广西,桂林市,0.0,1.0,0.0,47,31.0,0.0
3月5日,内蒙古,通辽市,0.0,1.0,0.0,8,5.0,0.0
3月5日,内蒙古,呼和浩特市,0.0,1.0,0.0,7,5.0,0.0
3月5日,广东,江门市,0.0,2.0,0.0,23,20.0,0.0
3月5日,广东,中山市,0.0,1.0,0.0,71,62.0,0.0
3月5日,广东,东莞市,0.0,4.0,0.0,101,86.0,1.0
3月5日,广东,佛山市,0.0,3.0,0.0,98,69.0,0.0
3月5日,广东,珠海市,0.0,1.0,0.0,110,83.0,1.0
3月5日,广东,深圳市,0.0,9.0,0.0,454,353.0,3.0
3月5日,广东,广州市,0.0,9.0,0.0,387,292.0,1.0
3月5日,吉林,长春市,0.0,2.0,0.0,46,43.0,0.0
3月5日,湖南,娄底市,0.0,1.0,0.0,83,68.0,0.0
3月5日,湖南,岳阳市,0.0,7.0,0.0,163,137.0,1.0
3月5日,湖南,株洲市,0.0,3.0,0.0,85,73.0,0.0
3月5日,湖南,长沙市,0.0,9.0,0.0,264,201.0,2.0
3月5日,浙江,温州市,0.0,12.0,0.0,536,479.0,1.0
3月5日,浙江,杭州市,0.0,4.0,0.0,196,162.0,0.0
3月5日,浙江,湖州市,2.0,0.0,0.0,15,10.0,0.0
3月5日,江苏,淮安市,0.0,4.0,0.0,68,62.0,0.0
3月5日,江苏,苏州市,0.0,1.0,0.0,95,71.0,0.0
3月5日,江苏,徐州市,0.0,2.0,0.0,82,73.0,0.0
3月5日,江苏,无锡市,0.0,2.0,0.0,59,52.0,0.0
3月5日,江苏,南京市,0.0,6.0,0.0,100,80.0,0.0
3月5日,湖北,仙桃市,0.0,4.0,0.0,587,481.0,20.0
3月5日,湖北,潜江市,0.0,9.0,0.0,203,151.0,10.0
3月5日,湖北,咸宁市,0.0,17.0,0.0,900,776.0,14.0
3月5日,湖北,荆门市,0.0,22.0,0.0,1018,686.0,42.0
3月5日,湖北,十堰市,0.0,21.0,0.0,712,527.0,7.0
3月5日,湖北,随州市,0.0,38.0,0.0,1359,975.0,42.0
3月5日,湖北,荆州市,0.0,54.0,0.0,1627,1270.0,50.0
3月5日,湖北,黄冈市,0.0,66.0,0.0,3061,2476.0,125.0
3月5日,湖北,天门市,0.0,14.0,1.0,509,435.0,15.0
3月5日,湖北,恩施州,0.0,2.0,1.0,277,207.0,5.0
3月5日,湖北,孝感市,0.0,108.0,1.0,3618,2821.0,122.0
3月5日,湖北,宜昌市,0.0,30.0,1.0,962,638.0,34.0
3月5日,湖北,襄阳市,0.0,40.0,1.0,1211,980.0,35.0
3月5日,湖北,黄石市,1.0,39.0,0.0,1051,822.0,37.0
3月5日,湖北,鄂州市,2.0,32.0,3.0,1414,912.0,52.0
3月5日,湖北,武汉市,131.0,1426.0,23.0,50369,26358.0,2368.0
3月5日,河南,地市明细不详,0.0,3.0,0.0,0,284.0,15.0
3月5日,黑龙江,七台河市,0.0,1.0,0.0,18,14.0,0.0
3月5日,黑龙江,绥化市,0.0,2.0,0.0,50,37.0,5.0
3月5日,黑龙江,双鸭山市,0.0,1.0,0.0,53,40.0,3.0
3月5日,黑龙江,鸡西市,0.0,1.0,0.0,46,40.0,0.0
3月5日,黑龙江,牡丹江市,1.0,0.0,0.0,16,11.0,0.0
3月5日,河北,唐山市,0.0,1.0,0.0,58,52.0,1.0
3月5日,湖北,十堰市,0.0,1.0,0.0,712,506.0,7.0
3月5日,北京,地市明细不详,0.0,3.0,0.0,0,281.0,15.0
3月5日,北京,朝阳区,1.0,0.0,0.0,89,0.0,0.0
3月4日,黑龙江,哈尔滨市,0.0,2.0,0.0,206,148.0,4.0
3月4日,甘肃,平凉市,0.0,1.0,0.0,9,9.0,0.0
3月4日,新疆,吐鲁番市,0.0,1.0,0.0,3,2.0,0.0
3月4日,海南,三亚市,0.0,1.0,0.0,65,52.0,1.0
3月4日,内蒙古,呼伦贝尔市,0.0,2.0,0.0,9,7.0,0.0
3月4日,上海,外地来沪,0.0,1.0,0.0,92,101.0,0.0
3月4日,上海,崇明县,0.0,1.0,0.0,4,4.0,0.0
3月4日,上海,黄浦区,0.0,1.0,0.0,5,5.0,0.0
3月4日,上海,闵行区,0.0,1.0,0.0,17,19.0,0.0
3月4日,浙江,台州市,0.0,7.0,0.0,168,127.0,0.0
3月4日,广东,湛江市,0.0,1.0,0.0,27,20.0,0.0
3月4日,广东,中山市,0.0,1.0,0.0,71,61.0,0.0
3月4日,河南,郑州市,0.0,2.0,0.0,194,152.0,2.0
3月4日,福建,厦门市,0.0,1.0,0.0,39,35.0,0.0
3月4日,安徽,黄山市,0.0,1.0,0.0,10,9.0,0.0
3月4日,安徽,安庆市,0.0,1.0,0.0,91,83.0,0.0
3月4日,安徽,宣城市,0.0,1.0,0.0,7,5.0,0.0
3月4日,安徽,滁州市,0.0,1.0,0.0,15,13.0,0.0
3月4日,安徽,淮北市,0.0,1.0,0.0,28,25.0,0.0
3月4日,安徽,宿州市,0.0,3.0,0.0,44,41.0,0.0
3月4日,安徽,阜阳市,0.0,4.0,0.0,165,155.0,0.0
3月4日,安徽,蚌埠市,0.0,3.0,0.0,163,155.0,5.0
3月4日,河南,漯河市,0.0,1.0,0.0,44,35.0,0.0
